import time: self [us] | cumulative | imported package
import time:       911 |       1214 |                   pandas.core.interchange.dataframe_protocol
import time:       391 |        391 |                     pandas.core.interchange.utils
import time:       581 |        971 |                   pandas.core.interchange.from_dataframe
import time:       740 |       2924 |                 pandas.api.interchange
import time:       268 |        268 |                   pandas.core.dtypes.api
import time:       420 |        688 |                 pandas.api.types
import time:     13208 |      13208 |                   pandas.core.resample
import time:       555 |        555 |                         pandas._libs.json
import time:       434 |        434 |                         pandas.io.json._normalize
import time:       406 |        406 |                         pandas.io.json._table_schema
import time:       751 |        751 |                               pandas._libs.parsers
import time:      1048 |       1048 |                                 pandas.io.parsers.base_parser
import time:       809 |       1856 |                               pandas.io.parsers.arrow_parser_wrapper
import time:       636 |        636 |                               pandas.io.parsers.c_parser_wrapper
import time:       875 |        875 |                               pandas.io.parsers.python_parser
import time:      2576 |       6693 |                             pandas.io.parsers.readers
import time:       735 |       7427 |                           pandas.io.parsers
import time:        37 |       7464 |                         pandas.io.parsers.readers
import time:      1637 |      10494 |                       pandas.io.json._json
import time:      1107 |      11601 |                     pandas.io.json
import time:       145 |      11745 |                   pandas.io.json._json
import time:      1927 |       1927 |                   pandas.io.stata
import time:      1629 |      28507 |                 pandas.api.typing
import time:       696 |      33705 |               pandas.api
import time:       650 |        650 |                     pandas._testing.contexts
import time:       564 |       1213 |                   pandas._testing._io
import time:       339 |        339 |                   pandas._testing._warnings
import time:        59 |         59 |                       cmath
import time:       775 |        833 |                     pandas._libs.testing
import time:       919 |       1752 |                   pandas._testing.asserters
import time:       516 |        516 |                   pandas._testing.compat
import time:      1850 |       5668 |                 pandas._testing
import time:       575 |       6243 |               pandas.testing
import time:       429 |        429 |               pandas.util._print_versions
import time:       546 |        546 |                 pandas.io.clipboards
import time:       412 |        412 |                     pandas.io.excel._util
import time:      1103 |       1103 |                     pandas.io.excel._calamine
import time:       455 |        455 |                     pandas.io.excel._odfreader
import time:       619 |        619 |                     pandas.io.excel._openpyxl
import time:       367 |        367 |                     pandas.io.excel._pyxlsb
import time:       397 |        397 |                     pandas.io.excel._xlrd
import time:      2720 |       6069 |                   pandas.io.excel._base
import time:       374 |        374 |                   pandas.io.excel._odswriter
import time:       938 |        938 |                   pandas.io.excel._xlsxwriter
import time:       805 |       8185 |                 pandas.io.excel
import time:       515 |        515 |                 pandas.io.feather_format
import time:       372 |        372 |                 pandas.io.gbq
import time:       900 |        900 |                 pandas.io.html
